qlet	Birt`h order (within pregnancy)
kj460	CH was Taken into Care Past 12MTHs
kj460a	Child Taken Into Care Y/N
kj461	A Pet Died in past 12 MTHs
kj461a	Pet died Y/N
kj462	CH Moved Home in past 12 MTHs
kj462a	Child Moved Home Y/N
kj463	CH had Shock in past 12 MTHs
kj463a	Child Had Shock Y/N
kj464	CH Physically Hurt by Person Past 12MTHs
kj464a	Child Was Physically Hurt By Person Y/N
kj465	CH was Sexually Abused Past 12 MTHs
kj465a	Child Sexually Abused Y/N
kj466	CH & MUM were Separated Past12 MTHs
kj466a	Child & Mum Separated Y/N
kj467	CH & DAD were Separated Past 12 MTHs
kj467a	Child & Dad Separated Y/N
kj468	CH got a New Parent in past 12 MTHs
kj468a	Child Got a New Parent Y/N
kj469	CH got New Sibling in past 12 MTHs
kj469a	Child Got a New Sibling Y/N
kj470	CH Admitted to HOSP in past 12 MTHs
kj470a	Child Admitted To Hospital Y/N
kj471	CH Changed Carer in past MTHs
kj471a	Child Changed Carer Y/N
kj472	CH Sep from Someone Else Past 12MTH
kj472a	Child Separated From Someone Else Y/N
kj473	CH Started New Creche in past 12 MTHs
kj473a	Child Started New Creche Y/N
kj474	Something Else Happened to CH Past 12 MTHs
kj474a	Something Else Happened To Child Y/N
kj600	CH Tries to be Fair in Games
kj601	CH is Restless and Doesnt keep still
kj602	CH is Considerate for Others
kj603	CH is Squirmy and Fidgety
kj604	CH Destroys Own Others Belongings
kj605	CH is Affectionate to Family Members
kj606	CH Fights With Other Children
kj607	Other Children Dislike Child
kj608	CH Helps Round House Voluntary
kj609	CH Worries about Many Things
kj610	CH does things on Own
kj611	CH is Irritable
kj612	CH wil Help Someone who is Hurt
kj613	CH Appears Miserable or Tearful
kj614	CH Twitches or has Tics
kj615	CH Bites Nails or Fingers
kj616	CH is Disobedient
kj617	CH is Kind to Young Children
kj618	CH has Short Attention Span
kj619	CH is Afraid of New Things
kj620	CH Helps Children Feeling Ill
kj621	CH is Fussy or Over Particular
kj622	CH Tells Lies
kj624	CH Comforts Child who is Upset
kj625	CH has Stutter or Stammer
kj626	CH has Speech Difficulty
kj627	CH Enjoys Pretend Games
kj628	CH Bullies Other Children
kj629	CH is Inattentive
kj630	CH gets on With Other Children
kj631	CH doesnt Share Toys
kj632	CH Cries Easily
kj633	CH is Forceful and Determined
kj634	CH Blames Other for Things
kj635	CH Shares Treats With Friends
kj636	CH Gives Up Easily
kj637	CH is Inconsiderate of Others
kj638	Is Independent, Confident
kj639	CH Bites or Kicks Other Children
kj640	CH is Kind to Animals
kj641	CH Stares into Space
kj642	CH Tries to Stop Quarrels
kj903	Month of Completion
kj904	Year of Completion
kj999	Age at completion (in weeks)
kj999a	Age at completion (in months)
kk004	Questionnaire version
kk183	B6a: Child Talking Problem Suspected
kk184	B6b: Mother or Partner Suspected Talking Problem
kk185	B6c: Health Visitor Suspected Talking Problem
kk186	B6d: GP Suspected Talking Problem
kk187	B6e: Grandparents Suspected Talking Problem
kk188	B6f: Other Person Suspected Talking Problem
kk189	B6g: Child Seen by Speech Therapist
kk190	B6g1: Age Child Saw Speech Therapist (years)
kk192	B6h: Still Worries About Child Speech
kk193	B7a: Child Growth Problem Suspected
kk194	B7b: Mother or Partner Suspected Growth Problem
kk195	B7c: Health Visitor Suspected Growth Problem
kk196	B7d: GP Suspected Growth Problem
kk197	B7e: Grandparents Suspected Growth Problem
kk198	B7f: Other Person Suspected Growth Problem
kk199	B7g: Child Seen by Growth Specialist
kk200	B7h: Age Child Seen By Growth Specialist (years)
kk202	B7j: Still Worries About Childs Growth
kk205	B8a: Child Coordination Problem Suspected
kk206	B8b: Mother or Partner Suspected Co-ordination Problem
kk207	B8c: Health Visitor Suspected Co-ordination Problem
kk208	B8d: GP Suspected Co-ordination Problem
kk209	B8e: Grandparents Suspected Co-ordination Problem
kk210	B8f: Other Person Suspected Co-ordination Problem
kk211	B8g: Child Seen by Specialist Co-ordination Problem
kk212	B8h: Age Child Saw Specialist Co-ordination Problem (years)
kk214	B8j: Still Worries About Child Co-ordination
kk215	B9a: Child Other Development Problems Suspected
kk216	B9b: Mother or Partner Suspected Development Problem
kk217	B9c: Health Visitor Suspected Develop Problem
kk218	B9d: GP Suspected Development Problem
kk219	B9e: Grandparents Suspected Develop Problem
kk220	B9f: Other Person Suspected Develop Problem
kk221	B9g: Child Seen by Specialist Develop Problem
kk222	B9h: Age Child Saw Specialist Development Problem (years)
kk224	B9j: Still Worries About Childs Development
kk225	B10a: Child Saw Specialist Other Problem > 3 Years
kk226	B10b: No. of Different Problems
kk230	B10d1: Child Saw Specialist - Problem No.1
kk231	B10d2: Child Saw Specialist - Problem No.2
kk232	B10d3: Child Saw Specialist - Problem No.3
kk233	B10e1: Age Child First Saw Specialist - Problem 
kk234	B10e2: Age Child First Saw Specialist - Problem 
kk235	B10e3: Age Child First Saw Specialist - Problem 
kk458	D9a: Child Looks Forward to School
kk459	D9b: Child Enjoys School
kk460	D9c: Child Stimulated by School
kk461	D9d: Child Frightened by School
kk462	D9e: Child Talks About New School Friends
kk463	D9f: Child Bored by School
kk464	D9g: Child Likes His/Her Teachers
kk465	D10a: Child Talks About Day When Gets Home
kk466	D10b: Child Asks About Mothers Day When Gets Home
kk467	D10c: Child Plays by Him/Herself When Gets Home
kk468	D10d: Child Watches TV When Gets Home
kk469	D10e: Child Plays With Others When Gets Home
kk470	D10f: Child Falls Asleep When Gets Home
kk471	D11: No. of Children in Class Child Knew Before School
kk472	D12: Child Visited School Before 1st Day
kk473	D13a: Child Brings Home Things Done in Day
kk474	D13b: Child Puts Paintings on Display
kk475	D14a: Child Excited on Return From School
kk476	D14b: Child Talkative on Return From School
kk477	D14c: Child Withdrawn on Return From School
kk478	D14d: Child Calm on Return From School
kk479	D14e: Child Very Active on Return From School
kk480	D14f: Child Sleepy on Return From School
kk481	D14g: Child Angry on Return From School
kk482	D14h: Child Hungry on Return From School
kk483	D14i: Child Tearful on Return From School
kk484	D14j: Child Anxious on Return From School
kk485	D14k: Child Affectionate on Return From School
kk486	D14l: Child Tired on Return From School
kk487	D14m: Child Other on Return From School
kk990	G1a: Mother Completed Questionnaire
kk991	G1b: Father Completed Questionnaire
kk992	G1c: Other Person Completed Questionnaire
kk995	G2: Date questionnaire completed - month
kk998a	DV: Age of child at completion (months)
kk998b	DV: Age of child at completion (weeks)
kk998c	DV: Assumptions made in calculating child's age at completion
kl008	Questionnaire version
kl010	A1i: Parent's assessment of child's health in past month
kl011	A1ii: Parent's assessment of child's health in past year
kl285	C3a: Frequency child has temper tantrums
kl286	C3b1: Child has tantrum when they fail to get what they want
kl287	C3b2: Child has tantrum due to failure to make themselves understood
kl288	C3b3: Child's tantrum is a reaction to being corrected
kl289	C3b4: Child has tantrum for no particular reason
kl290	C3b5: Child has tantrum for other reason
kl345	C11d1: Child plays at same time as watching TV or video
kl346	C11d2: Child watches TV and pays attention when TV is on
kl347	C11d3: Child ignores TV when it is on
kl470	D1: Child taken into care since age 3
kl471	D2: A pet died since child age 3
kl472	D3: Child moved home since age 3
kl473	D4: Child had shock or fright since age 3
kl474	D5: Child was physically hurt by someone since age 3
kl475	D6: Child was sexually abused since age 3
kl476	D7: Child separated from mother since age 3
kl477	D8: Child separated from father since age 3
kl478	D9: Child acquired new mother or father since age 3
kl479	D10: Child had new brother or sister since age 3
kl480	D11: Child admitted to hospital since age 3
kl481	D12: Child changed care taker since age 3
kl482	D13: Child separated from someone else since age 3
kl483	D14: Child started new nursery/kindergarten since age 3
kl484	D15: Child started school since age 3
kl485	D16: Child experienced other event which may be upsetting since age 3
kl700	F1: Child tends to be shy
kl701	F2: Child cries easily
kl702	F3: Child likes to be with people
kl703	F4: Child is always on the go
kl704	F5: Child prefers playing with others rather than alone
kl705	F6: Child is somewhat emotional
kl706	F7: When child moves about they move slowly
kl707	F8: Child makes friends easily
kl708	F9: Child is off and running as soon as they wake in morning
kl709	F10: Child finds people more stimulating than anything else
kl710	F11: Child fusses and cries
kl711	F12: Child is very sociable
kl712	F13: Child is very energetic
kl713	F14: Child takes a long time to warm to strangers
kl714	F15: Child gets upset easily
kl715	F16: Child is something of a loner
kl716	F17: Child prefers quiet inactive games to more active ones
kl717	F18: When alone child feels isolated
kl718	F19: Child reacts intensely when upset
kl719	F20: Child is very friendly with strangers
kl730	F21: Child bullies other children
kl731	F22: Child is very restless, hardly ever still
kl732	F23: Child is squirmy or fidgety
kl733	F24: Child destroys her own things or those belonging to others
kl734	F25: Child fights with other children
kl735	F26: Child is not much liked by other children
kl736	F27: Child worries about many things
kl737	F28: Child is rather solitary
kl738	F29: Child is irritable. Is quick to fly off the handle
kl739	F30: Child appears miserable, unhappy, tearful or distressed
kl740	F31: Child takes things belonging to others
kl741	F32: Child bites their nails or fingers
kl742	F33: Child is disobedient
kl743	F34: Child cannot settle to do anything for more than a few moments
kl744	F35: Child is afraid of new things or new situations
kl745	F36: Child is fussy or over-particular
kl746	F37: Child tells lies
kl747	F38: Child likes to sit and watch TV rather than play active games
kl748	F39: Child laughs a lot
kl749	F40: Child smiles when child sees their parent(s)
kl750	F41: Child likes a cuddle
kl751	F42: Child really enjoys life
kl760	F43: Frequency child joins in with others
kl761	F44: Frequency child finds it hard to wait their turn in a game
kl762	F45: Number of children who choose to play with child
kl763	F46: Child gets upset over small things
kl764	F47: It is easy to comfort child when they get upset
kl765	F48: Frequency child will comfort another child who is upset
kl766	F49: Frequency child tells parent untrue things about others to get them in trouble
kl767	F50: Frequency child does what they are asked straight away
kl768	F51: Child is good at sitting still
kl769	F52: Length of time child can concentrate on a game or task
kl770	F53: Frequency child is too demanding of parent
kl771	F54: Frequency child whines or moans with little reason
kl772	F55: Frequency child is unhappy for no apparent reason
kl773	F56: Frequency child wants to follow if parent leaves room
kl774	F57: Child some times refuses to do what other adults tell them
kl775	F58: Child some times interrupts/butts in when others are talking
kl776	F59: Child talks far too much
kl777	F60: Frequency parent understands what child says
kl778	F61: Frequency child trys to understand when told something new
kl790	F62a: Study child has brothers and sisters
kl791	F62b: Child is teased by brothers and sisters
kl792	F62c: Child teases brothers and sisters
kl793	F62d: Child is deliberately provoked by brothers and sisters
kl794	F62e: Child deliberately provokes brothers and sisters
kl795	F62f: Child is willing to share with brothers and sisters
kl796	F62g: Child is interrupted by brothers and sisters when working or playing
kl800	F63a: Child has contact with other children
kl801	F63b: Child is teased by other children
kl802	F63c: Child teases other children
kl803	F63d: Child is deliberately provoked by other children
kl804	F63e: Child deliberately provokes other children
kl805	F63f: Child is willing to share with other children
kl806	F63g: Child is interrupted by other children when doing something
kl870	F70a1: Frequency child kicks adults who are family members
kl871	F70b1: Frequency child hits adults who are family members
kl872	F70c1: Frequency child fights adults who are family members
kl873	F70d1: Frequency child swears at adults who are family members
kl874	F70e1: Frequency child uses angry words to adults who are family members
kl880	F70a2: Frequency child kicks children who are family members
kl881	F70b2: Frequency child hits children who are family members
kl882	F70c2: Frequency child fights children who are family members
kl883	F70d2: Frequency child swears at children who are family members
kl884	F70e2: Frequency child uses angry words to children who are family members
kl890	F71a1: Frequency child kicks adults who are not family members
kl891	F71b1: Frequency child hits adults who are not family members
kl892	F71c1: Frequency child fights adults who are not family members
kl893	F71d1: Frequency child swears at adults who are not family members
kl894	F71e1: Frequency child uses angry words to adults who are not family members
kl900	F71a2: Frequency child kicks children who are not family members
kl901	F71b2: Frequency child hits children who are not family members
kl902	F71c2: Frequency child fights children who are not family members
kl903	F71d2: Frequency child swears at children who are not family members
kl904	F71e2: Frequency child uses angry words to children who are not family members
kl980	G1a: Questionnaire completed by mother
kl981	G1b: Questionnaire completed by father
kl982	G1c: Questionnaire completed by other person
kl984	DV: Number of contributors to questionnaire
kl985	DV: Questionnaire completed by...
kl990a	G2: Date questionnaire completed - month
kl990b	G2: Date questionnaire completed - year
kl990c	DV: Date of completion replaced with date of receipt
kl991a	DV: Age of study child at completion (months)
kl991b	DV: Age of study child at completion (weeks)
km0008	Questionnaire version
km5050	E3: Difficulty getting child to eat in past year
km5061	E4b: Child refused to eat food you think they should in past year
km5062	E4c: Child been choosy with food in past year
km5070	E5a: Child likes to try different foods
km5075	E5f: Child is very choosy about food
km6001	F1: Weight measurement 1
km6002	F1: Height measurement 1
km6003	F1: Head circumference measurement 1
km6010a	F2: Date of measurement 2 - month
km6010b	F2: Date of measurement 2 - year
km6010c	DV: Components missing (after identification of illegal dates)
km6011	F2: Weight measurement 2
km6012	F2: Height measurement 2
km6013	F2: Head circumference measurement 2
km6020a	F3: Date of measurement 3 - month
km6020b	F3: Date of measurement 3 - year
km6020c	DV: Components missing (after identification of illegal dates)
km6021	F3: Weight measurement 3
km6022	F3: Height measurement 3
km6023	F3: Head circumference measurement 3
km6030a	F4: Date of measurement 4 - month
km6030b	F4: Date of measurement 4 - year
km6030c	DV: Components missing (after identification of illegal dates)
km6031	F4: Weight measurement 4
km6032	F4: Height measurement 4
km6033	F4: Head circumference measurement 4
km6100a	DV: Age of study child at measurement 1 (years)
km6100b	DV: Age of study child at measurement 1 (months)
km6100c	DV: Age of study child at measurement 1 (weeks)
km6110a	DV: Age of study child at measurement 2 (years)
km6110b	DV: Age of study child at measurement 2 (months)
km6110c	DV: Age of study child at measurement 2 (weeks)
km6120a	DV: Age of study child at measurement 3 (years)
km6120b	DV: Age of study child at measurement 3 (months)
km6120c	DV: Age of study child at measurement 3 (weeks)
km6130a	DV: Age of study child at measurement 4 (years)
km6130b	DV: Age of study child at measurement 4 (months)
km6130c	DV: Age of study child at measurement 4 (weeks)
km9980	G1a: Questionnaire completed by mother
km9981	G1b: Questionnaire completed by father
km9982	G1c: Questionnaire completed by other person
km9984	DV: Number of contributors to questionnaire
km9985	DV: Questionnaire completed by...
km9990a	G2: Date of completion of questionnaire - month
km9990b	G2: Date of completion of questionnaire - year
km9990c	DV: Date of completion replaced with date of receipt
km9991a	DV: Age of study child at completion (months)
km9991b	DV: Age of study child at completion (weeks)
kn0007	Questionnaire completed (as of 31/12/05)
kn0008	Questionnaire version
kn2000	B1: Child have a regular sleeping routine
kn2010	B2a: Number of hours child sleeps in the daytime
kn2011a	B2b: Time in evening child goes to sleep on school day - hour
kn2011b	B2b: Time in evening child goes to sleep on school day - minute
kn2020a	B3a: Time child wakes in morning - hour
kn2020b	B3a: Time child wakes in morning - minute
kn2021	B3b: Number of times child usually wakes during the night
kn2030	B4a1: Child usually go to bed at night
kn2032	B4a2: Child usually wake up in the morning
kn2034	B4b1: Child go to sleep at night alone or with others
kn2036	B4b2: Child wake up in the morning alone or with others
kn2120	B5a: Child regularly refused to go to Bed in past year
kn2121	B5b: Child regularly woken very early in past year
kn2122	B5c: Child regularly had difficulty going to sleep in past year
kn2123	B5d: Child regularly had nightmares in past year
kn2124	B5e: Child regularly continued to get up after being put to bed in past year
kn2125	B5f: Child regularly refused to go to bed in past year
kn2126	B5g: Child regularly got up after a few hours in past year
kn3100	C7: Frequency child has temper tantrums
kn3110	C8a: Frequency child rocks head or body for no reason
kn3111	C8b: Frequency child has tic or twitch
kn3112	C8c: Frequency child has other unusual behaviour
kn4000	D1: Child taken into care in past 15 months
kn4001	D2: Child's pet die in past 15 months
kn4002	D3: Child move home in past 15 months
kn4003	D4: Child have a fright or shock in past 15 months
kn4004	D5: Child physically hurt by someone in past 15 months
kn4005	D6: Child sexually abused in past 15 months
kn4006	D7: Child separated from mother in past 15 months
kn4007	D8: Child separated from Father in past 15 months
kn4008	D9: Child acquire new parent in past 15 months
kn4009	D10: Child have a new brother or sister in past 15 months
kn4010	D11: Child admitted to hospital in past 15 months
kn4011	D12: Child's main carer change in past 15 months
kn4012	D13: Child separated from another person in past 15 months
kn4013	D14: Child start a new nursery in past 15 months
kn4014	D15: Child start school in past 15 months
kn4015	D16: Something else happen to child in past 15 months
kn5190	E13a: Mother worried about child's speech
kn5191	E13b: Mother worried about child's weight
kn5192	E13c: mother worried about child's height
kn5193	E13d: Mother worried about child's behaviour
kn5194	E13e: Mother worried about child's general development
kn5195	E13f: Mother worried about another aspect of child's development
kn6000	F1: Frequency child tends to be shy
kn6001	F2: Frequency child cries easily
kn6002	F3: Frequency child likes to be with people
kn6003	F4: Frequency child is always on the go
kn6004	F5: Frequency child prefers playing with others rather than alone
kn6005	F6: Frequency child is somewhat emotional
kn6006	F7: Frequency child moves about slowly
kn6007	F8: Frequency child makes friends easily
kn6008	F9: Frequency child is off and running in morning as soon as wakes up
kn6009	F10: Frequency child finds people more stimulating than anything else
kn6010	F11: Frequency child fusses and cries
kn6011	F12: Frequency child is very sociable
kn6012	F13: Frequency child is very energetic
kn6013	F14: Frequency child takes a long time to warm to strangers
kn6014	F15: Frequency child gets upset easily
kn6015	F16: Frequency child is something of a loner
kn6016	F17: Frequency child prefers quiet inactive games to active games
kn6017	F18: Frequency child feels isolated when alone
kn6018	F19: Frequency child reacts intensely when upset
kn6019	F20: Frequency child is very friendly with strangers
kn6020	F21: Frequency child bullies other children
kn6021	F22: Frequency child is restless and hardly ever still
kn6022	F23: Frequency child is squirmy or fidgety
kn6023	F24: Frequency child destroys own things or those of others
kn6024	F25: Frequency child fights with other children
kn6025	F26: Frequency child is not much liked by other children
kn6026	F27: Frequency child worries about many things
kn6027	F28: Frequency child does things on own rather solitary
kn6028	F29: Frequency child is irritable or quick to fly off handle
kn6029	F30: Frequency child appears miserable or tearful or unhappy or distressed
kn6030	F31: Frequency child takes others belongings
kn6031	F32: Frequency child bites own nails or fingers
kn6032	F33: Frequency child is disobedient
kn6033	F34: Frequency child cannot settle more than few moments
kn6034	F35: Frequency child is afraid of new things or situations
kn6035	F36: Frequency child is fussy or over-particular
kn6036	F37: Frequency child tells lies
kn6037	F38: Frequency child likes to sit and watch TV rather than play active games
kn6038	F39: Frequency child laughs a lot
kn6039	F40: Frequency child smiles when sees parents
kn6040	F41: Frequency child likes a cuddle
kn6041	F42: Frequency child really enjoys life
kn7000	G1a: Height (cm)
kn7001	G1b: Weight (kg)
kn7002	G1c: Inside leg (cm)
kn7003	G1d: Waist (cm)
kn7004	G1c: Chest (cm)
kn7005	G1f: Hips (cm)
kn9980	H1a: Questionnaire completed by mother
kn9981	H1b: Questionnaire completed by father
kn9982	H1c: Questionnaire completed by other
kn9984	DV: Number of contributors to questionnaire
kn9985	DV: Questionnaire completed by...
kn9990a	H2: Date of completion of questionnaire - month
kn9990b	H2: Date of completion of questionnaire - year
kn9990c	DV: Date of completion replaced with date of receipt
kn9991a	DV: Age of study child at completion (months)
kn9991b	DV: Age of study child at completion (weeks)
kp0007	Questionnaire completed (as of 31/12/00)
kp0008	Questionnaire version
kp1000	A1a: Child goes to school
kp1001a	A1b: Age child started school - years
kp1001b	A1b: Age child started school - months
kp1002	A1c: Number of different schools child has attended
kp1130	A7a: Child looks forward to going to school
kp1131	A7b: Child enjoys school
kp1132	A7c: Child is stimulated by school
kp1133	A7d: Child is frightened by school
kp1134	A7e: Child talks about friends
kp1135	A7f:  Child seems bored by school
kp1136	A7g: Child likes teachers
kp1140	A8a: Child likes reading at school
kp1141	A8b: Child likes maths at school
kp1142	A8c: Child likes writing at school
kp1143	A8d: Child likes games at school
kp1144	A8e: Child likes discussion at school
kp1145	A8f:  Child likes other things at school
kp1150	A9a: Child talks about the events of the day after school
kp1220	A15a: Child has been identified as having learning problems
kp1221	A15b1: Child attends special school
kp1222	A15b2: Child attends special class in normal school
kp1223	A15b3: Child has a special teacher
kp1224	A15b4: There is no help available for child's learning problem
kp2000	B1a: Child likes to try different foods
kp2001	B1b: Child seems to enjoy eating
kp2005	B1f: Child is very choosy about food
kp2006	B1g: Child finishes all the food on the plate
kp3000	C1a: Child had cough medicine in past 12 months
kp3002	C1b: Child had antibiotics in past 12 months
kp3004	C1c: Child had throat medicine in past 12 months
kp3006	C1d: Child had vitamins in past 12 months
kp3008	C1e: Child had paracetamol in past 12 months
kp3010	C1f: Child had skin ointment in past 12 months
kp3012	C1g: Child had eye ointment in past 12 months
kp3014	C1h: Child had diarrhoea mixture or pills in past 12 months
kp3016	C1i: Child had dimotapp/decongestant in past 12 months
kp3018	C1j: Child had ear drops in past 12 months
kp3020	C1k: Child had eye drops in past 12 months
kp3022	C1l: Child had iron in past 12 months
kp3024	C1m: Child had laxative in past 12 months
kp3026	C1n: Child had homeopathic medicine in past 12 months
kp3028	C1o: Child had herbal medicine in past 12 months
kp3030	C1p: Child had asthma medication in past 12 months
kp3032	C1q: Child used vaporiser in past 12 months
kp3034	C1r: Child had other treatment in past 12 months
kp3040	C2a: Child has used medicine every day for last 3 months
kp3050	C3a: Since 5th birthday child had investigation for spine, leg, or foot problem
kp3051	C3b: After investigation problem found with child's spine, legs or feet
kp3053	C3b2: Age of child when spine, leg or foot problem found
kp3060	C4a: Since child was 5 someone thought child had hearing problem
kp3061	C4b: Since child was 5 child seen by hearing specialist
kp3062	C4c: Age of child when seen for hearing problem
kp3070	C5a: Anyone ever thought child had eye problem
kp3071	C5b: Description of child's eye problem
kp3073	C5c: Since child was 5 child was referred to eye specialist
kp3074	C5d: Age child saw eye specialist
kp3080	C6a: Anyone ever thought child had talking problem
kp3081	C6b: Child has been seen by speech therapist
kp3082	C6b1: Age of child when seen by speech therapist
kp3084	C6c: Current worries about child's talking
kp3090	C7a: Anyone ever thought child had growth problem
kp3091	C7b: Child ever been seen by growth specialist
kp3092	C7c: Age of child when seen by growth specialist
kp3094	C7e: Current worries about child's growth
kp3100	C8a: Anyone thought child had movement problem
kp3101	C8b: Child seen by specialist for movement problem
kp3102	C8c: Age of child when seen by specialist for movement problem
kp3104	C8e: Current worries about child's movement problem
kp3110	C9a: Anyone thought child had other developmental problem
kp3111	C9b: Child seen specialist for other development problem
kp3112	C9c: Age of child when seen by specialist for other developmental problem
kp3114	C9e: Current worries about child's other developmental problem
kp3120	C10a: Anyone thought child had behaviour/personality problem
kp3121	C10b: Child seen by specialist for behaviour/personality problem
kp3122	C10c: Age of child when seen for behaviour/personality problem
kp3124	C10e: Current worries about child's behaviour/personality problem
kp3130	C11a: Anyone thought child had ache or pain problem
kp3131	C11b: Child seen by specialist for ache or pain problem
kp3132	C11c: Age of child when seen for ache or pain problem
