Questionnaire	Details	Category
KL	F20: Child is very friendly with strangers	strangers
KN	F20: Frequency child is very friendly with strangers	strangers
KL	F8: Child makes friends easily	makes_friends
KN	F8: Frequency child makes friends easily	makes_friends
KL	F10: Child finds people more stimulating than anything else	loves_people
KN	F10: Frequency child finds people more stimulating than anything else	loves_people
KL	F14: Child takes a long time to warm to strangers	shy_of_strangers
KN	F14: Frequency child takes a long time to warm to strangers	shy_of_strangers
KJ	CH Tries to Stop Quarrels	stops_fights
TA	D1d: Teenager's ability to say/do right thing to defuse tense/embarrassing situation, in comparison to others the same age	stops_fights
KR	M3a: Child was unaware of other people's feelings over past 6 months	unaware_of_feelings
KV	N3a: In past 6 months child was not aware of others feelings	unaware_of_feelings
TB	O3a: Frequency child not aware of other people's feelings over last 6 months	unaware_of_feelings
TC	D39a: Over the last 6 months, study teenager was not aware of other people's feelings	unaware_of_feelings
KR	M3b: Child did not realise when others were upset/angry over past 6 months	others_upset
KV	N3b: In past 6 months child did not realise when others were upset	others_upset
TB	O3b: Frequency child doesn't realise when others upset/angry over last 6 months	others_upset
TC	D39b: Over the last 6 months, study teenager did not realise when others are upset or angry	others_upset
KR	M3c: Child did not notice the effect of own behaviour on other family members over past 6 months	behaviour_effect
KV	N3c: In past 6 months child did not notice the effect of behaviour on family members	behaviour_effect
TB	O3c: Frequency child doesn't notice effect of their behaviour on other family members over last 6 months	behaviour_effect
TC	D39c: Over the last 6 months, study teenager did not notice the effect their behaviour has on other members of the family	behaviour_effect
KR	M3g: Child did not seem to understand social skills over past 6 months	social_skills
KV	N3g: In past 6 months child did not seem to understand social skills	social_skills
TB	O3g: Frequency child doesn't seem to understand social skills e.g. interrupts conversations constantly over last 6 months	social_skills
TC	D39g: Over the last 6 months, study teenager did not seem to understand social skills, e.g. interrupts conversations constantly	social_skills
KR	M3h: Child did not pick up on body language over past 6 months	body_language
KV	N3h: In past 6 months child did not pick up on body language	body_language
TB	O3h: Frequency child doesn't pick up on body language over last 6 months	body_language
TC	D39h: Over the last 6 months, study teenager did not pick up on body language	body_language
KR	M3j: Child did not realise people were offended by own behaviour over past 6 months	offended
KV	N3j: In past 6 months child did not understand when child was offending people	offended
TB	O3j: Frequency child doesn't realise they offend other people with their behaviour over last 6 months	offended
TC	D39j: Over the last 6 months, study teenager did not realise that they offend people with their behaviour	offended
