Questionnaire	ID	Details	Months	Years
KV	kv7523	L3d: In last 6 months child often went on talking even if told to stop or no one is listening	120	10.0
KV	kv8011	M2b: In past 6 months child has argued with grown-ups	120	10.0
KV	kv8084	M9c: In past year child has bullied or threatened people	120	10.0
KV	kv8520	N3a: In past 6 months child was not aware of others feelings	120	10.0
KV	kv8521	N3b: In past 6 months child did not realise when others were upset	120	10.0
KV	kv8522	N3c: In past 6 months child did not notice the effect of behaviour on family members	120	10.0
KV	kv8524	N3e: In past 6 months child as been very demanding of other time	120	10.0
KV	kv8526	N3g: In past 6 months child did not seem to understand social skills	120	10.0
KV	kv8527	N3h: In past 6 months child did not pick up on body language	120	10.0
KV	kv8529	N3j: In past 6 months child did not understand when child was offending people	120	10.0
KW	kw6508	G9: Child has been helpful if someone is hurt/upset/feeling ill in the last six months	132	11.0
KW	kw6510	G11: Child has had at least one good friend in the last six months	132	11.0
KW	kw6511	G12: Child has often fought with other children or bullied them in the last six months	132	11.0
KW	kw6513	G14: Child has been generally liked by other children in the last six months	132	11.0
KW	kw6516	G17: Child has been kind to younger children in the last six months	132	11.0
KW	kw6518	G19: Child has been picked on or bullied by other children in the last six months	132	11.0
KW	kw6519	G20: Child has often volunteered to help others in the last six months	132	11.0
KW	kw6522	G23: Child has gets on better with adults than other children in the last six months	132	11.0
KW	kw6600a	DV: SDQ - Prosocial score (complete cases)	132	11.0
KW	kw6600b	DV: SDQ - Prosocial score (prorated)	132	11.0
KW	kw6600c	DV: SDQ - Number of missing prosocial components	132	11.0
TA	ta3000	D1a: Teenager's ability to laugh around with others, in comparison to others the same age	157	13.1
TA	ta3001	D1b: Teenager's ability to chat easily, even if topic isn't of interest, in comparison to others the same age	157	13.1
TA	ta3003	D1d: Teenager's ability to say/do right thing to defuse tense/embarrassing situation, in comparison to others the same age	157	13.1
TA	ta3004	D1e: Teenager's ability to be graceful/good loser when things don't go their way, in comparison to others the same age	157	13.1
TA	ta3005	D1f: Teenager's ability to make other people feel at ease, in comparison to others the same age	157	13.1
TA	ta3006	D1g: Teenager's ability to read between lines to work out what people think/feel, in comparison to others the same age	157	13.1
TA	ta3007	D1h: Teenager's ability to say sorry/sort things out without bad feeling, in comparison to others the same age	157	13.1
TA	ta3008	D1i: Teenager's ability to take the lead without others feeling bossed about, in comparison to others the same age	157	13.1
TA	ta3009	D1j: Teenager's awareness of what is/isn't appropriate in social situations, in comparison to others the same age	157	13.1
TA	ta7000	I1: Teenager is considerate of other people's feelings	157	13.1
TA	ta7003	I4: Teenager has shared readily with other children/teenagers	157	13.1
TA	ta7005	I6: Teenager is rather solitary, tends to play alone	157	13.1
TA	ta7008	I9: Teenager is helpful if someone is hurt, upset or ill	157	13.1
TA	ta7010	I11: Teenager has at least one good friend	157	13.1
TA	ta7011	I12: Teenager often fights or bullies other children/teenagers	157	13.1
TA	ta7013	I14: Teenager is generally liked by other children	157	13.1
TA	ta7018	I19: Teenager is often picked on or bullied by other children	157	13.1
TA	ta7019	I20: Teenager often volunteers to help others	157	13.1
TA	ta7022	I23: Teenager gets on better with adults than other teenagers	157	13.1
TB	tb3002	C3: Frequency child makes good first impression but people change their mind after getting to know them	166	13.8
TB	tb3003	C4: Frequency child keeps friends	166	13.8
TB	tb3006	C7: Frequency child is genuinely sorry if they hurt someone/acted badly	166	13.8
TB	tb5000	F1: Child generally fears/avoids meeting new people/doing thing's in front of people	166	13.8
TB	tb5010	F2a: Degree to which child particularly afraid of meeting new people during last month	166	13.8
TB	tb5011	F2b: Degree to which child particularly afraid of meeting a lot people during last month	166	13.8
TB	tb5012	F2c: Degree to which child particularly afraid of speaking in class during last month	166	13.8
TB	tb5013	F2d: Degree to which child particularly afraid of reading a loud in front of others during last month	166	13.8
TB	tb5014	F2e: Degree to which child particularly afraid of writing in front of others during last month	166	13.8
TB	tb5015	F2f: Degree to which child particularly afraid of eating in front of others during last month	166	13.8
TB	tb7522	L3c: Degree to which child often butt's in on other people's conversation/games in past 6 months relative to peers	166	13.8
TB	tb7532	L4c: Degree to which child often not listening to what people saying to them in past 6 months relative to peers	166	13.8
TB	tb8084	M9c: Child bullied/threatened people over past 12 months	166	13.8
TB	tb8520	O3a: Frequency child not aware of other people's feelings over last 6 months	166	13.8
TB	tb8521	O3b: Frequency child doesn't realise when others upset/angry over last 6 months	166	13.8
TB	tb8522	O3c: Frequency child doesn't notice effect of their behaviour on other family members over last 6 months	166	13.8
TB	tb8524	O3e: Frequency child is very demanding of other people's time over last 6 months	166	13.8
TB	tb8526	O3g: Frequency child doesn't seem to understand social skills e.g. interrupts conversations constantly over last 6 months	166	13.8
TB	tb8527	O3h: Frequency child doesn't pick up on body language over last 6 months	166	13.8
TB	tb8529	O3j: Frequency child doesn't realise they offend other people with their behaviour over last 6 months	166	13.8
TC	tc4000	D1: In the past 6 months, study teenager has been considerate of other people's feelings	198	16.5
TC	tc4003	D4: In the past 6 months, study teenager has shared readily with other children and teenagers	198	16.5
TC	tc4005	D6: In the past 6 months, study teenager is rather solitary, tends to be alone	198	16.5
TC	tc4008	D9: In the past 6 months, study teenager is helpful if someone is hurt, upset or feeling ill	198	16.5
TC	tc4010	D11: In the past 6 months, study teenager has at least one good friend	198	16.5
TC	tc4011	D12: In the past 6 months, study teenager often fights or bullies other children or teenagers	198	16.5
TC	tc4013	D14: In the past 6 months, study teenager is generally liked by others	198	16.5
TC	tc4016	D17: In the past 6 months, study teenager is kind to younger children	198	16.5
TC	tc4018	D19: In the past 6 months, study teenager is picked on or bullied by other teenagers	198	16.5
TC	tc4019	D20: In the past 6 months, study teenager often volunteers to help others (parents, teachers, other teenagers)	198	16.5
TC	tc4022	D23: In the past 6 months, study teenager gets on better with adults than with other teenagers	198	16.5
TC	tc4050	D39a: Over the last 6 months, study teenager was not aware of other people's feelings	198	16.5
TC	tc4051	D39b: Over the last 6 months, study teenager did not realise when others are upset or angry	198	16.5
TC	tc4052	D39c: Over the last 6 months, study teenager did not notice the effect their behaviour has on other members of the family	198	16.5
TC	tc4054	D39e: Over the last 6 months, study teenager has been very demanding of other people's time	198	16.5
TC	tc4056	D39g: Over the last 6 months, study teenager did not seem to understand social skills, e.g. interrupts conversations constantly	198	16.5
TC	tc4057	D39h: Over the last 6 months, study teenager did not pick up on body language	198	16.5
TC	tc4059	D39j: Over the last 6 months, study teenager did not realise that they offend people with their behaviour	198	16.5
