type,file_descriptor,context,proportion_count,proportion_hmean,proportion_mean,proportion_min,proportion_median,proportion_max
Other files variable names,Social Class files,Social Class files. Data derived from occupation data provided in parental questionnaires,214,0.513,0.568,0.273,0.549,0.975
Partner based Q variable names,PA Files,PA Files. Questionnaire: You and your environment. Completed by: Partner. At: 12 weeks gest,15,0.434,0.434,0.434,0.434,0.434
Partner based Q variable names,PE Files,PE Files. Questionnaire: A toddler in the house. Completed by: Partner. At: 1 year 9 months,5,0.597,0.597,0.597,0.597,0.597
Partner based Q variable names,PP Files,PP Files. Questionnaire: Lifestyle and health of partner. Completed by: Partner. At: 11 years 2 months,11,0.763,0.763,0.762,0.763,0.766
Partner based Q variable names,PQ Files,PQ Files. Questionnaire: Partners - about me. Completed by: Partner. At: 12 years 1 month,14,0.865,0.877,0.784,0.791,1.0
School based Q variable names,SABC Files,SABC Files. Questionnaire: Combined file of SA.  SB & SC. Completed by: Teacher. At: School year 3,224,0.592,0.592,0.583,0.59,0.635
School based Q variable names,SD Files,SD Files. Questionnaire: Maths assessment. Completed by: Teacher. At: School year 4,2,0.655,0.655,0.655,0.655,0.655
School based Q variable names,SEFG Files,SEFG Files. Questionnaire: Combined file of SE.  SF & SG. Completed by: Teacher. At: School year 6,184,0.41,0.506,0.022,0.51,0.546
School based Q variable names,SH Files,SH Files. Questionnaire: Maths assessment. Completed by: Teacher. At: School year 6,2,0.022,0.022,0.022,0.022,0.022
global,GLOBAL,Identifier for each child. Combine with qlet to completely identify a child.,1,0.0,0.0,0.0,0.0,0.0
global,GLOBAL,Identifies children from multiple births.,1,0.0,0.0,0.0,0.0,0.0
uncatalogued,DAWBA Bands,DAWBA Bands,32,0.664,0.665,0.651,0.653,0.693
