"Dataset","Variable","Details","Counts","Type","Release","Label 1","Label 2","Label 3"
"tf3_4a","fh5420","B2: Time YP usually starts trying to go to sleep on school days: Hour: TF3",5509,"numeric","Current","Clinic","Child",NA
"tf3_4a","fh5421","B2: Time YP usually starts trying to go to sleep on school days: Minutes: TF3",5509,"numeric","Current","Clinic","Child",NA
"tf3_4a","fh5314","B3: Time YP usually takes to fall asleep on school days (mins): TF3",5509,"numeric","Current","Clinic","Child",NA
"tf3_4a","fh5440","B15: Length of time YP sleeps on normal school night: Hour: TF3",5509,"numeric","Current","Clinic","Child",NA
"tf3_4a","fh5441","B15: Length of time YP sleeps on normal school night: Minutes: TF3",5509,"numeric","Current","Clinic","Child",NA
"tf3_4a","fh5460","C2: Time YP usually starts trying to go to sleep on weekend days: Hour: TF3",5509,"numeric","Current","Clinic","Child",NA
"tf3_4a","fh5461","C2: Time YP usually starts trying to go to sleep on weekend days: Minutes: TF3",5509,"numeric","Current","Clinic","Child",NA
"tf3_4a","fh5324","C3: Time YP usually takes to fall asleep on weekend days (mins): TF3",5509,"numeric","Current","Clinic","Child",NA
"tf3_4a","fh5480","C15: Length of time YP sleeps on normal weekend night: Hour: TF3",5509,"numeric","Current","Clinic","Child",NA
"tf3_4a","fh5481","C15: Length of time YP sleeps on normal weekend night: Minutes: TF3",5509,"numeric","Current","Clinic","Child",NA
"tf3_4a","fh5334","D2: Problem YP has with sleepiness during daytime activities: TF3",5509,"numeric","Current","Clinic","Child",NA
"tf3_4a","fh5485","D4: Amount of sleep YP feels that they need: Hour: TF3",5509,"numeric","Current","Clinic","Child",NA
"tf3_4a","fh5486","D4: Amount of sleep YP feels that they need: Minutes: TF3",5509,"numeric","Current","Clinic","Child",NA
"tf3_4a","fh5339","D5: YPs assessment of how much sleep that they get: TF3",5509,"numeric","Current","Clinic","Child",NA
"tf3_4a","fh5340","D6: YPs assessment as to whether they are a good or bad sleeper: TF3",5509,"numeric","Current","Clinic","Child",NA
"tf3_4a","fh5341","D7: Frequency YP feels that they get enough sleep: TF3",5509,"numeric","Current","Clinic","Child",NA
"tf3_4a","fh6445","DIB20f: YP found it hard to sleep, in period when sad/irritable/lost interest: T",5509,"numeric","Current","Clinic","Child",NA
"tf3_4a","fh6550","DIC7k: In general in last 6 months, YPs worrying has interfered with sleep: TF3",5509,"numeric","Current","Clinic","Child",NA
"tf3_4a","fh6630","DID3k: YP has had problems sleeping, in last 4 weeks: TF3",5509,"numeric","Current","Clinic","Child",NA
"tf3_4a","fh8533","AL1090: Number full drinks needed to make YP pass out or fall asleep when didn't",5509,"numeric","Current","Clinic","Child",NA
"tf3_4a","fh8553","AL1170: Number full drinks needed to make YP pass out or fall asleep when didn't",5509,"numeric","Current","Clinic","Child",NA
"f10_5a","fdfs116","Freq child has sleepovers with close friends: F&S: F10",7557,"numeric","Current","Clinic","Child",NA
"tf4_4a","FJPL022","UE11: YP's unusual experiences only happened when they were falling asleep or wa",5217,"numeric","Current","Clinic","Child",NA
"tf4_4a","FJPL040","AH14: YP's hearing of voices/noises only happened when they were falling asleep ",5217,"numeric","Current","Clinic","Child",NA
"tf4_4a","FJPL051","VH8: YP's seeing of visions only happened when they were falling asleep or wakin",5217,"numeric","Current","Clinic","Child",NA
"tf4_4a","FJPL096","TD13: YP's thought delusions only happened when they were falling asleep or waki",5217,"numeric","Current","Clinic","Child",NA
"tf4_4a","FJPL164","DV: Interviewer rating of >=1 psychotic experience dependent on sleep, fever: ps",5217,"numeric","Current","Clinic","Child",NA
"tf4_4a","FJPL165","DV: Interviewer rating of definite psychotic experiences dependent on sleep, fev",5217,"numeric","Current","Clinic","Child",NA
"tf4_4a","FJPL166","DV: Interviewer rating of psychotic experience dependent on sleep, fever: psycho",5217,"numeric","Current","Clinic","Child",NA
"tf4_4a","FJCI250","Sleep: Sleep symptom score [F17]",5217,"numeric","Current","Clinic","Child",NA
"tf4_4a","FJCI251","Sleepch: Change in sleep pattern [F17]",5217,"numeric","Current","Clinic","Child",NA
"tf4_4a","FJCI252","Sleepcs: Main cause of sleep problems [F17]",5217,"numeric","Current","Clinic","Child",NA
"tf4_4a","FJCI253","Sleep_More: Slept more than usual in past month [F17]",5217,"numeric","Current","Clinic","Child",NA
"tf4_4a","FJCI254","Sleep_Dur: Duration of sleep symptoms [F17]",5217,"numeric","Current","Clinic","Child",NA
"tf4_4a","FJDR5450","DR2018: YP has ever tried Sedatives or Sleeping Pills [F17]",5217,"numeric","Current","Clinic","Child",NA
"tf4_4a","FJDR5500","DR2019: YP has tried Sedatives or Sleeping Pills in the last year [F17]",5217,"numeric","Current","Clinic","Child",NA
"tf4_4a","FJDR5550","DR2020: YP has tried Sedatives or Sleeping Pills in the last 3 months [F17]",5217,"numeric","Current","Clinic","Child",NA
"tf4_4a","FJAL300","AL366: Number full drinks needed to make YP pass out or fall asleep when didn't ",5217,"numeric","Current","Clinic","Child",NA
"tf4_4a","FJAL550","AL374: Number full drinks needed to make YP pass out or fall asleep when didn't ",5217,"numeric","Current","Clinic","Child",NA
"F24_2a","FKDR1060","Drugs6: YP has ever used sedatives/sleeping pills (Valium, Rohypnol, etc.): F@24",4021,"numeric","Current","Clinic","Child",NA
"F24_2a","FKDR1065","Drugs6a: In past 12 months, YP has used sedatives/sleeping pills: F@24",4021,"numeric","Current","Clinic","Child",NA
"FA_1b","fa3246","D30: In past week: been so unhappy they have had difficulty sleeping: FoF1",2033,"numeric","Current","Quest","Father",NA
"FA_1b","fa5400","F55a: In last 2 years, how often taken: Sleeping pills: FoF1",2033,"numeric","Current","Quest","Father",NA
"sefg_1b","sf565","D16: Teacher goes to sleep all right",9324,"numeric","Current","Quest","Schools",NA
"sabc_1d","sb565","D16: Teacher goes to sleep all right",6797,"numeric","Current","Quest","Schools",NA
"kf_8a","kf188","Child stops breathing in sleep",10340,"numeric","Current","Quest","Child Based",NA
"kf_8a","kf230","Child has regular sleep routine",10340,"numeric","Current","Quest","Child Based",NA
"kf_8a","kf231","No of hours sleep child had everyday",10340,"numeric","Current","Quest","Child Based",NA
"kf_8a","kf232","Time child sleeps in evening - Hours",10340,"numeric","Current","Quest","Child Based",NA
"kf_8a","kf233","Time child sleeps in evening - Minutes",10340,"numeric","Current","Quest","Child Based",NA
"kf_8a","kf239","Frequency of sleep during day",10340,"numeric","Current","Quest","Child Based",NA
"kf_8a","kf240","Frequency of sleep during day (recoded)",10340,"numeric","Current","Quest","Child Based",NA
"kf_8a","kf243","Childs sleeping place at night",10340,"numeric","Current","Quest","Child Based",NA
"kf_8a","kf245","People child sleeps with at night",10340,"numeric","Current","Quest","Child Based",NA
"kf_8a","kf247","Childs sleeping position",10340,"numeric","Current","Quest","Child Based",NA
"kf_8a","kf253","Childs sleep pattern evaluation",10340,"numeric","Current","Quest","Child Based",NA
"kf_8a","kf257","Child has difficulty sleeping",10340,"numeric","Current","Quest","Child Based",NA
"kf_8a","kf261","Child gets up after little sleep",10340,"numeric","Current","Quest","Child Based",NA
"kf_8a","kf262","Anxiety over sleeping problem score",10340,"numeric","Current","Quest","Child Based",NA
"kr_2a","kr130","B1j2: Frequency child wets at night soon after going to sleep",8259,"numeric","Current","Quest","Child Based",NA
"kr_2a","kr204","C3d: Degree to which child worried about sleeping alone in past month relative t",8259,"numeric","Current","Quest","Child Based",NA
"kr_2a","kr204a","DV: Child worried more than peers about sleeping alone in past month",8259,"numeric","Current","Quest","Child Based",NA
"kr_2a","kr206","C3f: Degree to which child worried about sleeping in a strange place in past mon",8259,"numeric","Current","Quest","Child Based",NA
"kr_2a","kr206a","DV: Child worried more than peers about sleeping in a strange place in past mont",8259,"numeric","Current","Quest","Child Based",NA
"kr_2a","kr293","F4i: Degree to which child had problems sleeping in past month",8259,"numeric","Current","Quest","Child Based",NA
"kr_2a","kr293a","DV: Child had problems sleeping in past month",8259,"numeric","Current","Quest","Child Based",NA
"kr_2a","kr376","H6f: Child's general anxieties interfere with child's sleep",8259,"numeric","Current","Quest","Child Based",NA
"kr_2a","kr376a","DV: Child's general anxieties interfere with child's sleep (Y/N)",8259,"numeric","Current","Quest","Child Based",NA
"kr_2a","kr413","J5d: Child found it hard to get to sleep in past month",8259,"numeric","Current","Quest","Child Based",NA
"kr_2a","kr645","N12f: Frequency child falls asleep after returning home from school",8259,"numeric","Current","Quest","Child Based",NA
"kr_2a","kr645a","DV: Child usually falls asleep after returning home from school",8259,"numeric","Current","Quest","Child Based",NA
"kr_2a","kr655","N14f: Frequency child is sleepy on returning home from school",8259,"numeric","Current","Quest","Child Based",NA
"kr_2a","kr655a","DV: Child is usually sleepy on returning home from school",8259,"numeric","Current","Quest","Child Based",NA
"kn_r1b","kn2045","B4da: Frequency child grinds teeth when asleep",8691,"numeric","Current","Quest","Child Based",NA
"kd_4b","kd200","CH Has Regular Sleeping Routine",11120,"numeric","Current","Quest","Child Based",NA
"kd_4b","kd201","NO of Hours Child Sleeps During Daytime",11120,"numeric","Current","Quest","Child Based",NA
"kd_4b","kd204","Duration of sleep at night (minutes)",11120,"numeric","Current","Quest","Child Based",NA
"kd_4b","kd204b","No. hours asleep at night",11120,"numeric","Current","Quest","Child Based",NA
"kd_4b","kd206","NO of Times CH Sleeps During Day",11120,"numeric","Current","Quest","Child Based",NA
"kd_4b","kd207a","Room CH Put Down to Sleep at Night In",11120,"numeric","Current","Quest","Child Based",NA
"kd_4b","kd208a","CH Shares Bed When Put Down to Sleep",11120,"numeric","Current","Quest","Child Based",NA
"kd_4b","kd210a","Heating on at Night in Room CH Sleeps",11120,"numeric","Current","Quest","Child Based",NA
"kd_4b","kd211a","Open Windows in Room CH Sleeps In",11120,"numeric","Current","Quest","Child Based",NA
"kd_4b","kd212a","CH Sleeps With Duvet",11120,"numeric","Current","Quest","Child Based",NA
"kd_4b","kd212b","Ch sleeps with a duvet (adj)",11120,"numeric","Current","Quest","Child Based",NA
"kd_4b","kd213b","Ch sleeps with an electric blanket (adj)",11120,"numeric","Current","Quest","Child Based",NA
"kd_4b","kd214a","CH Sleeps With Pillow",11120,"numeric","Current","Quest","Child Based",NA
"kd_4b","kd214b","Ch sleeps with a pillow (adj)",11120,"numeric","Current","Quest","Child Based",NA
"kd_4b","kd218","CHs Sleep Pattern COMP Other Children",11120,"numeric","Current","Quest","Child Based",NA
"kd_4b","kd221a","CH REG Difficulty Going to Sleep Past YR",11120,"numeric","Current","Quest","Child Based",NA
"kd_4b","kd221b","Ch reg had diffs sleeping (adj)",11120,"numeric","Current","Quest","Child Based",NA
"kd_4b","kd225a","CH REG Got up After Little sleep Past YR",11120,"numeric","Current","Quest","Child Based",NA
"kd_4b","kd275","FREQ CH Sleeps Before Put to Bed",11120,"numeric","Current","Quest","Child Based",NA
"kd_4b","kd278","FREQ of Cuddling Until CH Asleep",11120,"numeric","Current","Quest","Child Based",NA
"kq_3a","kq075","A6f: How Often CH Sleep Dist By Wheezing In Past Year",8505,"numeric","Current","Quest","Child Based",NA
"kq_3a","kq146a","A14g1: CH Breathes Through Mouth When Asleep",8505,"numeric","Current","Quest","Child Based",NA
"kq_3a","kq148","A14i: CH Holds Breath While Sleeping",8505,"numeric","Current","Quest","Child Based",NA
"kq_3a","kq250","B1: CH Has A Regular Sleeping Routine",8505,"numeric","Current","Quest","Child Based",NA
"kq_3a","kq251","B2a: No. Hrs CH Sleep During Daytime",8505,"numeric","Current","Quest","Child Based",NA
"kq_3a","kq252","B2b1: Time CH Goes To Sleep In Eve, Sch Day - Hr",8505,"numeric","Current","Quest","Child Based",NA
"kq_3a","kq253","B2b1: Time CH Goes To Sleep In Eve, Sch Day - Min",8505,"numeric","Current","Quest","Child Based",NA
"kq_3a","kq254","B2b2: Time CH Goes To Sleep In Eve, Sat - Hr",8505,"numeric","Current","Quest","Child Based",NA
"kq_3a","kq255","B2b2: Time CH Goes To Sleep In Eve, Sat - Min",8505,"numeric","Current","Quest","Child Based",NA
"kq_3a","kq260","DV: Hours asleep in term-time",8505,"numeric","Current","Quest","Child Based",NA
"kq_3a","kq261","DV: Hours asleep on Weekend",8505,"numeric","Current","Quest","Child Based",NA
"kq_3a","kq265","B3c: No.Times CH Has A Sleep During Normal Day",8505,"numeric","Current","Quest","Child Based",NA
"kq_3a","kq270","B4a1: Room CH Usually Sleeps When Goes To Bed",8505,"numeric","Current","Quest","Child Based",NA
"kq_3a","kq273","B4b1: Bed CH Sleeps When Goes To Bed",8505,"numeric","Current","Quest","Child Based",NA
"kq_3a","kq276","B4c1: How Often CH Sleeps On Back",8505,"numeric","Current","Quest","Child Based",NA
"kq_3a","kq277","B4c2: How Often CH Sleeps On Side",8505,"numeric","Current","Quest","Child Based",NA
"kq_3a","kq278","B4c3: How Often CH Sleeps On Front",8505,"numeric","Current","Quest","Child Based",NA
"kq_3a","kq280","B4d: Mothers Feeling About CH Sleep Pattern",8505,"numeric","Current","Quest","Child Based",NA
"kq_3a","kq291","B5d CH Sleeps With A Duvet In Winter",8505,"numeric","Current","Quest","Child Based",NA
"kq_3a","kq292","B5d CH Sleeps With A Duvet In Summer",8505,"numeric","Current","Quest","Child Based",NA
"kq_3a","kq293","DV: Ch Ever Sleeps With Duvet",8505,"numeric","Current","Quest","Child Based",NA
"kq_3a","kq297","B5f: CH Sleeps With Pillow In Winter",8505,"numeric","Current","Quest","Child Based",NA
"kq_3a","kq298","B5f: CH Sleeps With Pillow In Summer",8505,"numeric","Current","Quest","Child Based",NA
"kq_3a","kq299","DV:CH Ever Sleeps With Pillow",8505,"numeric","Current","Quest","Child Based",NA
"kq_3a","kq302","B6c: CH Had Diff Going To Sleep In Past Year",8505,"numeric","Current","Quest","Child Based",NA
"kq_3a","kq302a","DV: CH Had Diff Going To Sleep In Past Year",8505,"numeric","Current","Quest","Child Based",NA
"kq_3a","kq306","B6g: CH Got Up After Few Hrs Sleep In Past Year",8505,"numeric","Current","Quest","Child Based",NA
"kq_3a","kq306a","DV: CH Got Up After Few Hrs Sleep In Past Year",8505,"numeric","Current","Quest","Child Based",NA
"kq_3a","kq309","B6j: CH Sleep Walked In Past Year",8505,"numeric","Current","Quest","Child Based",NA
"kq_3a","kq309a","DV: CH Sleep Walked In Past Year",8505,"numeric","Current","Quest","Child Based",NA
"kq_3a","kq316","DV: Sleep Worries Score",8505,"numeric","Current","Quest","Child Based",NA
"kq_3a","kq317","DV: Total No. Sleep problems",8505,"numeric","Current","Quest","Child Based",NA
"kp_r1b","kp1155","A9f: Child falls asleep after school",8568,"numeric","Current","Quest","Child Based",NA
"kp_r1b","kp1195","A13f: Child is sleepy after coming home from school",8568,"numeric","Current","Quest","Child Based",NA
"kp_r1b","kp5110","E6j2: Frequency child wets bed soon after going to sleep",8568,"numeric","Current","Quest","Child Based",NA
"kp_r1b","kp6001","F1b1: Cause of battle of wills - going to sleep",8568,"numeric","Current","Quest","Child Based",NA
"tc_2a","tc6020","F3: Average frequency, study teenager has had disturbed sleep due to wheezing in",5720,"numeric","Current","Quest","Child Based",NA
"tb_2a","tb1085","A6f: Average frequency child's sleep disturbed due to wheezing in past 12 months",7108,"numeric","Current","Quest","Child Based",NA
"tb_2a","tb2270","B1zb: Medicine/pills/drops/ointment used by child for sleeping in past 12 months",7108,"numeric","Current","Quest","Child Based",NA
"tb_2a","tb2273","B1zb: Frequency child used medicine/pills/drops/ointment for sleeping in past 12",7108,"numeric","Current","Quest","Child Based",NA
"tb_2a","tb4023","D3d: Degree to which child worried about sleeping alone in past month relative t",7108,"numeric","Current","Quest","Child Based",NA
"tb_2a","tb4024","D3e: Degree to which child has left bedroom at night to check on/sleep near spec",7108,"numeric","Current","Quest","Child Based",NA
"tb_2a","tb4025","D3f: Degree to which child worried about sleeping in a strange place in past mon",7108,"numeric","Current","Quest","Child Based",NA
"tb_2a","tb5538","G4i: Degree to which child had problems sleeping during last month",7108,"numeric","Current","Quest","Child Based",NA
"tb_2a","tb6555","J6f: Frequency worrying interfere's with child's sleep (e.g. difficulty in falli",7108,"numeric","Current","Quest","Child Based",NA
"tb_2a","tb7034","K5d: Child had difficulty getting to sleep in past month",7108,"numeric","Current","Quest","Child Based",NA
"kj_6c","kj162","CH Holds Breath For Few SECs When Asleep",10053,"numeric","Current","Quest","Child Based",NA
"kj_6c","kj205","CH has Regular Sleeping Routine",10053,"numeric","Current","Quest","Child Based",NA
"kj_6c","kj206","HRs CH Sleeps During Day",10053,"numeric","Current","Quest","Child Based",NA
"kj_6c","kj207","Time CH Goes to Sleep in Evening",10053,"numeric","Current","Quest","Child Based",NA
"kj_6c","kj210","NO of Times CH Sleeps in Day",10053,"numeric","Current","Quest","Child Based",NA
"kj_6c","kj211","Room CH Sleeps in When MUM Puts to Bed",10053,"numeric","Current","Quest","Child Based",NA
"kj_6c","kj213","Where CH Sleeps When Put To Bed",10053,"numeric","Current","Quest","Child Based",NA
"kj_6c","kj215","How CH Usually Sleeps",10053,"numeric","Current","Quest","Child Based",NA
"kj_6c","kj216","Heating on in Room where CH Sleeps",10053,"numeric","Current","Quest","Child Based",NA
"kj_6c","kj217","Window Open in Room where CH Sleeps",10053,"numeric","Current","Quest","Child Based",NA
"kj_6c","kj218","CH Sleeps with a Duvet",10053,"numeric","Current","Quest","Child Based",NA
"kj_6c","kj220","CH Sleeps with a Pillow",10053,"numeric","Current","Quest","Child Based",NA
"kj_6c","kj221","CHs Sleep Compared to Other Children",10053,"numeric","Current","Quest","Child Based",NA
"kj_6c","kj224","CH Has Problem Going To Sleep Past Year",10053,"numeric","Current","Quest","Child Based",NA
"kj_6c","kj224a","CH Has Problem Going To Sleep Y/N",10053,"numeric","Current","Quest","Child Based",NA
"kj_6c","kj228","CH Gets up After Few HRs Sleep Past Yr",10053,"numeric","Current","Quest","Child Based",NA
"kj_6c","kj228a","CH Gets Up After Few Hours Sleep Y/N",10053,"numeric","Current","Quest","Child Based",NA
"kj_6c","kj229","Worry Over Sleeping Score",10053,"numeric","Current","Quest","Child Based",NA
"kj_6c","kj230","Sleeping Difficulties Score",10053,"numeric","Current","Quest","Child Based",NA
"kk_2c","kk470","D10f: Child Falls Asleep When Gets Home",9715,"numeric","Current","Quest","Child Based",NA
"kk_2c","kk480","D14f: Child Sleepy on Return From School",9715,"numeric","Current","Quest","Child Based",NA
"km_r1b","km4255","D10f: Child falls asleep when returns home",9003,"numeric","Current","Quest","Child Based",NA
"km_r1b","km4295","D14f: Child sleepy on return from school",9003,"numeric","Current","Quest","Child Based",NA
"kn_r1b","kn1208","A13f1: Child breathe through mouth when asleep",8691,"numeric","Current","Quest","Child Based",NA
"kn_r1b","kn1211","A13h: Child stop breathing or hold breath for several seconds when asleep",8691,"numeric","Current","Quest","Child Based",NA
"kn_r1b","kn2000","B1: Child have a regular sleeping routine",8691,"numeric","Current","Quest","Child Based",NA
"kn_r1b","kn2010","B2a: Number of hours child sleeps in the daytime",8691,"numeric","Current","Quest","Child Based",NA
"kn_r1b","kn2011a","B2b: Time in evening child goes to sleep on school day - hour",8691,"numeric","Current","Quest","Child Based",NA
"kn_r1b","kn2011b","B2b: Time in evening child goes to sleep on school day - minute",8691,"numeric","Current","Quest","Child Based",NA
"kn_r1b","kn2034","B4b1: Child go to sleep at night alone or with others",8691,"numeric","Current","Quest","Child Based",NA
"kn_r1b","kn2040","B4c1: Frequency child sleeps on back",8691,"numeric","Current","Quest","Child Based",NA
"kn_r1b","kn2041","B4c2: Frequency child sleeps on side",8691,"numeric","Current","Quest","Child Based",NA
"kn_r1b","kn2042","B4c3: Frequency child sleeps on front",8691,"numeric","Current","Quest","Child Based",NA
"kl_r1b","kl158","A14h: Child stops breathing/holds breath when sleeping",9521,"numeric","Current","Quest","Child Based",NA
"kn_r1b","kn2080","B4e4: Child sleep with a duvet : winter",8691,"numeric","Current","Quest","Child Based",NA
"kn_r1b","kn2081","B4e4: Child sleep with a duvet : summer",8691,"numeric","Current","Quest","Child Based",NA
"kn_r1b","kn2100","B4e6: Child sleep with a Pillow : winter",8691,"numeric","Current","Quest","Child Based",NA
"kn_r1b","kn2111","B4e6: Child sleep with a Pillow : summer",8691,"numeric","Current","Quest","Child Based",NA
"kn_r1b","kn2122","B5c: Child regularly had difficulty going to sleep in past year",8691,"numeric","Current","Quest","Child Based",NA
"ku_r2b","ku225","A12f: Child is sleepy when gets home from school",8221,"numeric","Current","Quest","Child Based",NA
"ku_r2b","ku341a","B5b: On school days - time child usually goes to sleep - hours",8221,"numeric","Current","Quest","Child Based",NA
"ku_r2b","ku341b","B5b: On school days - time child usually goes to sleep - minutes",8221,"numeric","Current","Quest","Child Based",NA
"ku_r2b","ku343a","B5d: On weekends - time child usually goes to sleep - hours",8221,"numeric","Current","Quest","Child Based",NA
"ku_r2b","ku343b","B5d: On weekends - time child usually goes to sleep - minutes",8221,"numeric","Current","Quest","Child Based",NA
"ku_r2b","ku720","G1a: Child has regular sleeping routine",8221,"numeric","Current","Quest","Child Based",NA
"ku_r2b","ku722","G2a1: Where child usually sleeps when goes to bed at night",8221,"numeric","Current","Quest","Child Based",NA
"ku_r2b","ku724","G2a2: Where child usually sleeps when wakes in morning",8221,"numeric","Current","Quest","Child Based",NA
"ku_r2b","ku726","G2b1: Who child sleeps with when goes to bed at night",8221,"numeric","Current","Quest","Child Based",NA
"ku_r2b","ku728","G2b2: Who child sleeps with when wakes in morning",8221,"numeric","Current","Quest","Child Based",NA
"ku_r2b","ku730","G2c1: Child sleeps on back",8221,"numeric","Current","Quest","Child Based",NA
"ku_r2b","ku731","G2c2: Child sleeps on side",8221,"numeric","Current","Quest","Child Based",NA
"ku_r2b","ku732","G2c3: Child sleeps on front",8221,"numeric","Current","Quest","Child Based",NA
"ku_r2b","ku734","G2d1: Child grinds teeth when asleep",8221,"numeric","Current","Quest","Child Based",NA
"ku_r2b","ku740","G2e1: Where child sleeps most of night, heating is on all night - winter",8221,"numeric","Current","Quest","Child Based",NA
"ku_r2b","ku741","G2e1: Where child sleeps most of night, heating is on all night - summer",8221,"numeric","Current","Quest","Child Based",NA
"ku_r2b","ku743","G2e2: Where child sleeps most of night, heating is on part of night - winter",8221,"numeric","Current","Quest","Child Based",NA
"ku_r2b","ku744","G2e2: Where child sleeps most of night, heating is on part of night - summer",8221,"numeric","Current","Quest","Child Based",NA
"ku_r2b","ku746","G2e3: Where child sleeps most of night, window is open at night - winter",8221,"numeric","Current","Quest","Child Based",NA
"ku_r2b","ku747","G2e3: Where child sleeps most of night, window is open at night - summer",8221,"numeric","Current","Quest","Child Based",NA
"ku_r2b","ku749","G2e4: Where sleeps most of night, child sleeps with duvet - winter",8221,"numeric","Current","Quest","Child Based",NA
"ku_r2b","ku750","G2e4: Where sleeps most of night, child sleeps with duvet - summer",8221,"numeric","Current","Quest","Child Based",NA
"ku_r2b","ku752","G2e5: Where sleeps most of night, child has electric blanket - winter",8221,"numeric","Current","Quest","Child Based",NA
"ku_r2b","ku753","G2e5: Where sleeps most of night, child has electric blanket -summer",8221,"numeric","Current","Quest","Child Based",NA
"ku_r2b","ku755","G2e6: Where sleeps most of night, child sleeps with pillow - winter",8221,"numeric","Current","Quest","Child Based",NA
"ku_r2b","ku756","G2e6: Where sleeps most of night, child sleeps with pillow - summer",8221,"numeric","Current","Quest","Child Based",NA
"ku_r2b","ku762","G3c: Child had difficulty going to sleep in past year",8221,"numeric","Current","Quest","Child Based",NA
"ku_r2b","ku766","G3g: Child got up after only few hours sleep in past year",8221,"numeric","Current","Quest","Child Based",NA
"ku_r2b","ku850","I1j2: If child wets at night seems to wet soon after going to sleep",8221,"numeric","Current","Quest","Child Based",NA
"kv_2a","kv1085","A6f: Frequency child's sleep was disturbed due to wheezing in past year",7851,"numeric","Current","Quest","Child Based",NA
"kv_2a","kv2270","B1zb: In past year child has had medicine/pills/drops/ointments for sleeping in ",7851,"numeric","Current","Quest","Child Based",NA
"kv_2a","kv2273","B1zb: Frequency child had medicine/pills/drops/ointments for sleeping in past 12",7851,"numeric","Current","Quest","Child Based",NA
"kv_2a","kv4023","D3d: In past month child has worried about sleeping alone",7851,"numeric","Current","Quest","Child Based",NA
"kv_2a","kv4024","D3e: In past month child has left bed at night to check on or to sleep near spec",7851,"numeric","Current","Quest","Child Based",NA
"kv_2a","kv4025","D3f: In past month child has worried about sleeping in a strange place",7851,"numeric","Current","Quest","Child Based",NA
